Sample,Time_Interval,Growth_Rate
A,0-2 hrs,0.0899672990687207
A,0-2 hrs,0.0890085900458598
A,0-2 hrs,0.0870783796392408
B,0-2 hrs,0.0536049848239341
B,0-2 hrs,0.0890085900458598
B,0-2 hrs,0.0791812460476248
C,0-2 hrs,0.0861068019962397
C,0-2 hrs,0.0899672990687207
C,0-2 hrs,0.0899672990687207
D,0-2 hrs,0.0861068019962397
D,0-2 hrs,0.0761441721915282
D,0-2 hrs,0.073064017839119
E,0-2 hrs,0.0657023894287658
E,0-2 hrs,0.0751223009365351
E,0-2 hrs,0.0841505073147147
A,2-3 hrs,0.126847726415631
A,2-3 hrs,0.1287651444613528
A,2-3 hrs,0.1397104610906717
B,2-3 hrs,0.1249387366083
B,2-3 hrs,0.1097845498385062
B,2-3 hrs,0.1264440916056168
C,2-3 hrs,0.1302616325456826
C,2-3 hrs,0.1239810857640278
C,2-3 hrs,0.143661225425281
D,2-3 hrs,0.1004014568569192
D,2-3 hrs,0.1234068320855524
D,2-3 hrs,0.1264870251711606
E,2-3 hrs,0.1222562420891951
E,2-3 hrs,0.1315460358052408
E,2-3 hrs,0.1180057242138453
A,3-5 hrs,0.0675872565516694
A,3-5 hrs,0.0691513490831407
A,3-5 hrs,0.0676769857684196
B,3-5 hrs,0.0770264495723125
B,3-5 hrs,0.0807097309878833
B,3-5 hrs,0.0842558781730855
C,3-5 hrs,0.0764386367096643
C,3-5 hrs,0.0731667122089458
C,3-5 hrs,0.0648612582421575
D,3-5 hrs,0.0862349809349776
D,3-5 hrs,0.0836534475512262
D,3-5 hrs,0.0867538515306076
E,3-5 hrs,0.087236886541031
E,3-5 hrs,0.0857638511843633
E,3-5 hrs,0.0788690285374007
A,5-6 hrs,0.081789629155153
A,5-6 hrs,0.0725506671486117
A,5-6 hrs,0.0745252749055718
B,5-6 hrs,0.0781885725139471
B,5-6 hrs,0.0568326254121578
B,5-6 hrs,0.0660720773874785
C,5-6 hrs,0.0752740133235867
C,5-6 hrs,0.0879893923701907
C,5-6 hrs,0.0747409177370801
D,5-6 hrs,0.060064955600552
D,5-6 hrs,0.0719881614962257
D,5-6 hrs,0.0662057990364153
E,5-6 hrs,0.0761094603300931
E,5-6 hrs,0.0581193621119153
E,5-6 hrs,0.07709328778596
A,6-7 hrs,0.0405249636269981
A,6-7 hrs,0.0497828158047828
A,6-7 hrs,0.0529787053210256
B,6-7 hrs,0.0362121726544447
B,6-7 hrs,0.0566354821105374
B,6-7 hrs,0.0519301313962259
C,6-7 hrs,0.0468652765561477
C,6-7 hrs,0.0475980786752959
C,6-7 hrs,0.0622623302726003
D,6-7 hrs,0.0551552649010552
D,6-7 hrs,0.0421157729836009
D,6-7 hrs,0.0519428674915332
E,6-7 hrs,0.0616035643146357
E,6-7 hrs,0.059882846671789
E,6-7 hrs,0.0571189929513012
A,7-8 hrs,0.0370641328950674
A,7-8 hrs,0.0495818354481503
A,7-8 hrs,0.0360586845871453
B,7-8 hrs,0.0359560920023447
B,7-8 hrs,0.0320714531577749
B,7-8 hrs,0.0300150145028879
C,7-8 hrs,0.0731394612760855
C,7-8 hrs,0.064794681748463
C,7-8 hrs,0.0596619555884269
D,7-8 hrs,0.0344555093655016
D,7-8 hrs,0.0361800609695689
D,7-8 hrs,0.0304893221479002
E,7-8 hrs,0.05671156771607
E,7-8 hrs,0.063492472782277
E,7-8 hrs,0.0598992600209013
A,8-9 hrs,0.007190470243564
A,8-9 hrs,-0.0056311256581651
A,8-9 hrs,0.0063094739070072
B,8-9 hrs,0.0308600631012184
B,8-9 hrs,0.0264155291885722
B,8-9 hrs,0.0170612242698582
C,8-9 hrs,0.0506488257007819
C,8-9 hrs,0.0471790776954692
C,8-9 hrs,0.0507201734998741
D,8-9 hrs,0.0029344333390493
D,8-9 hrs,0.0080494963131728
D,8-9 hrs,0.0065748107471671
E,8-9 hrs,0.0670454144708015
E,8-9 hrs,0.0577401577261253
E,8-9 hrs,0.0590730060834785
A,9-10 hrs,0.0119570405775543
A,9-10 hrs,0.0193975550004024
A,9-10 hrs,0.0137012776773881
B,9-10 hrs,0.0353647072743097
B,9-10 hrs,0.0371531628508161
B,9-10 hrs,0.0449900007150287
C,9-10 hrs,0.0566218179614682
C,9-10 hrs,0.0720591057131072
C,9-10 hrs,0.0516008760560132
D,9-10 hrs,0.0143819261599741
D,9-10 hrs,0.0128583416439303
D,9-10 hrs,0.0156647777872688
E,9-10 hrs,0.0580659009126297
E,9-10 hrs,0.0602632518491269
E,9-10 hrs,0.0681908308190042
A,10-11 hrs,0.0203295061652306
A,10-11 hrs,0.0357512100917446
A,10-11 hrs,0.0248985072966668
B,10-11 hrs,0.0504293008282854
B,10-11 hrs,0.0515056361198984
B,10-11 hrs,0.0492629133086942
C,10-11 hrs,0.0491819082065706
C,10-11 hrs,0.0344971886985314
C,10-11 hrs,0.0632731551232347
D,10-11 hrs,0.0339997082268498
D,10-11 hrs,0.0383747325020781
D,10-11 hrs,0.0316848622989655
E,10-11 hrs,0.0535042515985923
E,10-11 hrs,0.0456040024933756
E,10-11 hrs,0.0421148544901314
A,11-12 hrs,0.0416333581939788
A,11-12 hrs,0.0364866398895106
A,11-12 hrs,0.0527063505160029
B,11-12 hrs,0.055491591117956
B,11-12 hrs,0.0465474248757221
B,11-12 hrs,0.04322515404528
C,11-12 hrs,0.0554450899118898
C,11-12 hrs,0.060144447837973
C,11-12 hrs,0.0385257779768027
D,11-12 hrs,0.043527980548053
D,11-12 hrs,0.0334714827777173
D,11-12 hrs,0.0473798102727471
E,11-12 hrs,0.0389311410851464
E,11-12 hrs,0.0585097519455823
E,11-12 hrs,0.0534015926312404
