Replicate_ID,0-6 hrs,6-8 hrs,9-12 hrs
A1,0.08729107780192742,0.038794548261032805,0.024639968312254585
A2,0.08627261497799428,0.049682325626466614,0.03054513499388591
A3,0.08729107780192742,0.04451869495408549,0.03043537849668597
B1,0.0773983629857901,0.036084132328394775,0.047095199740183724
B2,0.08434230288635843,0.04435346763415621,0.04506874128214559
B3,0.08656506957241937,0.04097257294955696,0.04582602268966768
C1,0.08843775388017959,0.06000236891611668,0.05374960535997624
C2,0.08970641678159197,0.05619638021187953,0.05556691408320393
C3,0.08800987629735298,0.06096214293051366,0.05113326971868356
D1,0.08419166305331767,0.044805387133278474,0.03063653831162566
D2,0.08583170551121455,0.039147916976584984,0.02823485230790861
D3,0.0853880938245049,0.041216094819716775,0.031576483452993825
E1,0.08404070905981366,0.05915756601535285,0.05016709786545618
E2,0.08523961702649219,0.06168765972703305,0.05479233542936165
E3,0.08685634728400604,0.058509126486101334,0.05456909264679205
